sample1,sample2,score
why does the student go to see the librarian,"according to the professor , what is the basic reason for building pedestrian malls in the city center",0.0
why does the student go to see the librarian,what is bode's law,0.0
what does the librarian say about the availability of journals and articles in the library,what is the professor considering doing to get move volunteers,0.0
what does the librarian say about the availability of journals and articles in the library,"according to the professor , what was an advantage of using clear glass instead of quartz to make reading stones",1.0
what does the librarian suggest the student should do to save time,"according to the professor , what feature of a meteoroid generally determines whether the meteoroid becomes a meteorite",0.5
what does the librarian suggest the student should do to save time,what is the lecture mainly about,1.0
why does the professor mention shoelaces,what can be inferred about why the woman decides to use the computer in the library,1.0
what can be inferred about why the woman decides to use the computer in the library,what fact inspired researchers to give the name technetium to element 43,0.0
what aspect of alice neel's work does the class mainly discuss,what is the conversation mainly about,3.5
what is the conversation mainly about,why does the man mention his classmates,1.5
what is the lecture mainly about,what is matthew's opinion about observing mr. grabell's third grade class,1.5
what is matthew's opinion about observing mr. grabell's third grade class,why does the professor mention that cot starfish eat fast growing coral,0.0
why does the professor mention dalton's soup and elkin jeans,why does matthew mention greek and roman mythology,1.5
what were two arguments ancient greeks used to reject the heliocentric model,why does matthew mention greek and roman mythology,1.0
why does the professor decide not to add more information to the diagram on the board,what important skills did mr. grabell introduce to his third grade class,0.0
what points does the professor make about software developers,what important skills did mr. grabell introduce to his third grade class,0.0
what will matthew probably do in next wednesday's class,what is the main purpose of the lecture,1.5
what will matthew probably do in next wednesday's class,what is the student's problem,1.0
why does the professor discuss frantzen's difficulties as a young painter,what is the main goal of the study that the professor's colleague is conducting,1.0
what was discovered on mars that suggests water once existed there,why does the professor discuss frantzen's difficulties as a young painter,0.0
what is the purpose of the lecture,"according to advisor , how do newspaper editors evaluate an applicant for a reporting position",1.5
what is the purpose of the lecture,what is the main purpose of the lecture,5.0
what does the professor say about frantzen's painting of a farm scene,what comparison does the professor make involving phosphorus and nitrogen,0.0
what does the professor say about frantzen's painting of a farm scene,"according to the professor , what helps speakers keep conversations from proceeding too slowly",0.0
why did frantzen go to the sales barn,why does the professor discuss the mayor of baltimore,1.5
why does the professor talk about the breaking apart of earth's continents,why did frantzen go to the sales barn,0.0
"according to the counselor , why should the woman visit her professor's office",what does the professor imply about the painting of the young woman surrounded by pumpkins,1.0
what does the professor imply about the painting of the young woman surrounded by pumpkins,"according to the talk , in what two ways was the federal art project successful",0.0
what is the professor's opinion about the practice of dating a piece of art by analyzing its artistic style,what does the professor mainly discuss,1.0
what element of the lover's habitat in california was threatened,what does the professor mainly discuss,1.0
what resulted from the lack of trees near the copper mining operation,"before the use of uranium lead analysis , where did most geologists think the grand canyon sandstone came from",0.5
what did the technique using zenith stars have in common with the technique using star pairs,"before the use of uranium lead analysis , where did most geologists think the grand canyon sandstone came from",0.0
"according to the professor , what change has caused uranium lead dating to gain popularity recently","how did the researchers test the links between acorns, white footed mice, and gypsy moths in a forest",0.0
"according to the professor , what change has caused uranium lead dating to gain popularity recently","the professor discusses an example of three friends who run out of gas , what point does he use the example to illustrate",0.0
why does the professor talk about the breaking apart of earth's continents,"the professor mention a study in the 1980s that tested memory in children under age 3 , what did the researchers conclude from this study",0.0
