,Unnamed: 0,sample1,sample2,score
0,0,"['to sign up for a seminar on using electronic sources for research', 'to report that a journal is missing from the reference area', 'to find out the procedure for checking out journal articles', 'to ask about how to look for resources for a class paper']","['to increase retail activity in the area', 'to reduce the noise made by automobile traffic', 'to increase shopping conveniences for city residents', 'to encourage people to move from the suburbs back into the city center']",0
1,1,"['to sign up for a seminar on using electronic sources for research', 'to report that a journal is missing from the reference area', 'to find out the procedure for checking out journal articles', 'to ask about how to look for resources for a class paper']","['a law of gravitation', 'an estimate of the distance between mars and jupiter', 'a prediction of how many asteroids there are', 'a pattern in spacing of the planet']",0
2,2,"['they are not easy to find if a professor put them on reserve', 'most of them are accessible in an electronic format', 'most of them can be checked out for three weeks', 'printed versions from the past three years are located in the reference section']","['offering extra class credit', 'paying the students for their time', 'asking for student volunteers from outside her class', 'providing flexible work schedules']",0
3,3,"['they are not easy to find if a professor put them on reserve', 'most of them are accessible in an electronic format', 'most of them can be checked out for three weeks', 'printed versions from the past three years are located in the reference section']","['clear glass was easier to find than quartz', 'clear glass was easier to cut to the appropriate size', 'clear glass magnified the letters more than quartz did', 'clear glass was less expensive than quartz']",0
4,4,"['choose an easier research topic', 'concentrate on five journals', 'read the summaries of the articles first', 'install a new program on her home computer']","['whether it was originally part of a larger meteoroid', 'whether it originated in the inner or outer solar system', 'what proportion of iron and stone it contains', ""how large it is when it enters the earth's atmosphere""]",0
5,5,"['choose an easier research topic', 'concentrate on five journals', 'read the summaries of the articles first', 'install a new program on her home computer']","['the effect of the tidal flow on the salt marsh', 'ways that some plants have adapted to living in salt marshes', 'the process of osmoses in plants', 'differences between plants that grow in salt marshes and plants that grow elsewhere']",0
6,6,"['to point out that chromosomes are arranged in pairs', 'to describe the coiled shape of a chromosome', 'to illustrate how chromosomes are protected from damage', 'to explain how chromosomes are joined before dividing']","['she thinks she might need additional help from the man', 'she does not have a computer at home', 'she has to hand in her assignment by the end of the day', 'she will be meeting a friend in the library later on']",0
7,7,"['she thinks she might need additional help from the man', 'she does not have a computer at home', 'she has to hand in her assignment by the end of the day', 'she will be meeting a friend in the library later on']","['the element was radioactive', 'the element was derived from uranium', 'the element was create artificially', 'the element was found using x ray spectroscopy']",0
8,8,"['the ways that her artistic style developed over time', 'the influence of photography on her portraits', 'the style she used to portray her subjects', 'criticism of her approach to realism and expressionism']","['a lesson matthew prepared for his students', 'a class matthew has been observing', 'a term paper that matthew has written', ""a problem in matthew's classroom""]",0
9,9,"['a lesson matthew prepared for his students', 'a class matthew has been observing', 'a term paper that matthew has written', ""a problem in matthew's classroom""]","['to explain how he obtained information about field research', 'to point out that many students like to do field research', 'to show that it is difficult to get intermediate level credits', 'to emphasize his motivation to do filed research in two of his courses']",0
10,10,"['methods people used to eliminate distractions', 'the area of the brain responsible for blocking distractions', 'the usefulness of questionnaires in assessing distractability', 'research about how the brain deals with distractions']","['it will help him become a more effective teacher', 'it could help improve his study habits', 'it has improved his public speaking skills', 'it may be the most difficult assignment he has had']",0
11,11,"['it will help him become a more effective teacher', 'it could help improve his study habits', 'it has improved his public speaking skills', 'it may be the most difficult assignment he has had']","['to show that cot starfish might benefit slow growing coral', 'to explain fluctuation in the cot starfish population', 'to indicate that the behavior of cot starfish has changed over time', 'to emphasize the danger posed by cot starfish to coral reefs']",0
12,12,"['to illustrate that the success of mbwa often depends on the product involved', 'to give examples of two companies that were resistant to trying mbwa', 'to contrast a successful use of mbwa with an unsuccessful use', 'to give examples of how the technique of mbwa is used in practice']","['to identify a topic frequently discussed in third grade', ""to get the professor's opinion about a lesson he taught"", 'to make a suggestion to improve the class he is taking', 'to illustrate a technique used to teach a third grade class']",1
13,13,"['more stars would be visible in a heliocentric universe', 'a moving earth would create a strong wind', ""aristarchus's calculations were inaccurate"", 'objects fall toward the center of the universe']","['to identify a topic frequently discussed in third grade', ""to get the professor's opinion about a lesson he taught"", 'to make a suggestion to improve the class he is taking', 'to illustrate a technique used to teach a third grade class']",0
14,14,"['she wants students to complete the diagram themselves as an assignment', 'she needs to look up some information in order to complete the diagram accurately', 'the additional information is not relevant to the topic that she wants to discuss next', 'students already have the additional information in their textbook']","[""reviewing other student's reports"", 'using books in the library', 'interviewing their classmates', 'speaking in public']",0
15,15,"['the work they do is mainly creative', 'they enjoy the challenge of identifying problems to fix', 'their work is easier than the work of software testers', 'they are not always able to detect software problems']","[""reviewing other student's reports"", 'using books in the library', 'interviewing their classmates', 'speaking in public']",0
16,16,"['hand in his assignment early', 'try to start a study group', 'make a presentation to the class', 'choose a topic for his paper']","['to introduce a method that can help students remember new information', 'to introduce a way to study how information passes from one person to another', 'to explain the differences between biological information and cultural information', 'to explain the differences between stories , songs , and other pieces of information']",1.8
17,17,"['hand in his assignment early', 'try to start a study group', 'make a presentation to the class', 'choose a topic for his paper']","['he missed the tuition due date', 'he has not been paid', 'his bank lost his paycheck', 'his tuition payment got lost']",0
18,18,"['he wants to point out mistakes that young artists commonly make', 'he thinks her example can inspire the students in their own lives', 'her difficulties remind him of the difficulties he himself experienced as a young girl', 'her difficulties are the subject of some of the paintings in the gallery that the students will visit']","['to find out if some television shows will be popular with people in a certain age range', 'to collect information about food products that college students like', 'to generate ideas for new television shows', ""to determine sociological factors that are related to people's television viewing preferences""]",0
19,19,"['microorganisms that can form only in the presence of water', 'a mineral that can form only in the presence of water', 'proteins that have the same structure as proteins found on earth', 'large deposits of iron and potassium that can form only in the presence of water']","['he wants to point out mistakes that young artists commonly make', 'he thinks her example can inspire the students in their own lives', 'her difficulties remind him of the difficulties he himself experienced as a young girl', 'her difficulties are the subject of some of the paintings in the gallery that the students will visit']",0
20,20,"['to explain the difference between two artistic styles', 'to describe a new art gallery to the class', ""to introduce an artist's work to the class"", ""to show how artists'styles can evolve over time""]","['they ask the applicant to present ideas for news stories', 'they ask the applicant to write a news story', ""they review the applicant's university course work"", ""they review a sample of the applicant's published articles""]",0
21,21,"['to explain the difference between two artistic styles', 'to describe a new art gallery to the class', ""to introduce an artist's work to the class"", ""to show how artists'styles can evolve over time""]","[""to point out similarities n emerson's essays and poems"", 'to prepare the students to read an essay by emerson', ""to compare emerson's concept of universal truth to that of other authors"", ""to show the influence of early united states society on emerson's writing""]",1.5
22,22,"['it resembles a photograph', ""it may be frantzen's best known painting"", 'it was painted in the impressionist style', 'it was painted while frantzen lived abroad']","['sediment on the ocean floor contains more nitrogen than phosphorus', 'the atmosphere contains more nitrogen than phosphorus', 'nitrogen requires more time to get recycled than phosphorus does', 'phosphorus is more important than nitrogen to the development of fish']",0
23,23,"['it resembles a photograph', ""it may be frantzen's best known painting"", 'it was painted in the impressionist style', 'it was painted while frantzen lived abroad']","['the ability to make inferences according to the gricean maxims', 'the ability to effectively distinguish truth from falsehood', 'the willingness to acknowledge that a gricean maxim has been violated', 'the willingness to ignore the gricean maxims on occasion']",0
24,24,"['to study human form and movement', 'to earn money by painting portraits', 'to paint farm animals in an outdoor setting', 'to meet people who could model for her paining']","['to explain the origins of the method of mbwa', 'to demonstrate that mbwa can be useful outside the business world', 'to provide an example of mbwa can sometimes fa il', 'to give an example where market research and mbwa provide similar types of information']",0
25,25,"['to give another example of how uranium lead dating might be useful', 'to explain how the grand canyon was formed', 'to demonstrate how difficult uranium lead dating is', ""to disprove a theory about the age of earth's first mountain ranges""]","['to study human form and movement', 'to earn money by painting portraits', 'to paint farm animals in an outdoor setting', 'to meet people who could model for her paining']",0
26,26,"['to offer a compliment', 'to offer to help other students', 'to introduce herself', 'to suggest ways of making the class more personal']","['it was painted at an art fair', 'it combines impressionism with realism', 'it convinced frantzen that she was a good illustrator', 'it was originally meant to be used in an advertisement']",0
27,27,"['it was painted at an art fair', 'it combines impressionism with realism', 'it convinced frantzen that she was a good illustrator', 'it was originally meant to be used in an advertisement']","['it established standards for art schools', 'it provided jobs for many artists', 'it produced many excellent artists', 'it gave many people greater access to the arts']",1.2
28,28,"['it provides the strongest type of dating evidence', 'it is more useful for some types of art than others', 'use of the practice has improved over the last century', 'some analysts make questionable assumption when using it']","['the difference in age among american mountain ranges', 'the importance of a technique used for dating geological materials', 'the recent discovery of an ancient canyon', 'a comparison of various minerals used for dating']",2.5
29,29,"['the availability of food', 'the availability of water', 'the safety of nests from human activity', 'the protection of nests from predatory birds']","['the difference in age among american mountain ranges', 'the importance of a technique used for dating geological materials', 'the recent discovery of an ancient canyon', 'a comparison of various minerals used for dating']",0
